"","TransactionID","ClassDesc","DeptDesc","Brand","Units"
"148556",-1124064595,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"149216",-1127577926,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"149225",-1124064665,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"151118",-1127577916,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"151903",-1124064729,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"152517",-1127716050,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"152994",-1127654962,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",2
"153168",-1127647822,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",2
"153692",-1127649570,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"154209",-1127655337,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"154640",-1124064432,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"155253",-1127632654,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",4
"156768",-1124073191,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"157532",-1127626429,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"157610",-1127650414,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"157804",-1127625830,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",2
"158521",-1127650508,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"158768",-1127626316,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"160118",-1127649955,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",2
"160372",-1127722208,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"161061",-1127700726,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"161689",-1127722956,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"161851",-1127716586,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"162259",-1127708428,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",2
"162897",-1124006075,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"163301",-1124040478,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",2
"163350",-1127708744,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"163426",-1127722474,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"163579",-1127700785,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",2
"164238",-1127722232,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"164583",-1127716250,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",2
"165702",-1127731130,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"166933",-1127723556,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"167672",-1127716637,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"168298",-1127722292,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",2
"170073",-1124019092,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"170872",-1124040958,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"170951",-1124005911,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"171092",-1124006723,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",2
